,source_id
156,69838302833692160
157,69840879814047872
158,67832346947351424
159,69847610026687104
160,64346276612274816
161,69854348831573504
162,69856272976786560
163,69857235049588736
164,69859124835119360
165,69860293066219136
166,69863454162150656
167,69864313154046592
168,69871219462957952
169,69872044096705664
170,64380636350910464
171,69876712724339456
172,69877163697813248
173,69876923179646080
174,69878503727603072
175,64401389632616960
176,69889876800977408
177,67899520235887616
178,69894962042148096
179,69898294936767488
180,69898810332838400
181,64433924008996224
182,69904101732529408
183,69904410970171392
184,69904617128601984
185,67920926352940032
186,69906472554465792
187,69906571336964608
188,69906713072633856
189,64438184617001472
190,64438841747360768
191,64441143849872512
192,69911282917833216
193,69911867033651200
194,69912309413652864
195,64445988572906752
196,69917635172718720
197,69918086146123520
198,64449321467581056
199,69918979499309952
200,64453685154291968
201,64453887017111808
202,64456262134709376
203,69930764889482752
204,69932276717968512
205,66280248847432192
206,69934334006064768
207,69935162935991168
208,69942515919994368
209,69945814454871680
210,67988615037924096
211,69947635521777152
212,69948253997063424
213,69951449452730752
214,67998201404864896
215,68014964661425280
216,68045583484082048
217,68046133239891584
218,64574352259640192
219,68051390279853824
220,64588753286083328
221,64589062523316736
222,64597927334523904
223,64600813554014592
224,68097020012324352
225,64642801154268672
226,68117635855255168
227,68120418994061312
228,64653383953596032
229,68120728231661824
230,64656201452146304
231,68129764842889600
232,64665203703566848
233,64667535869958784
234,64671903852618624
235,68141408498321280
236,68142374866825216
237,68145707761492608
238,68145776480904064
239,64679840952155264
240,68147391388599808
241,68150861722174848
242,68152820227358720
243,68156290560900480
244,68162028637205888
245,68162921990400256
246,68167835432980480
247,68170721650939264
248,68174191984522368
249,68175806892217216
250,64720179284934016
251,64720625961541120
252,68183331674900864
253,68185221460637824
254,68186114813689344
255,64734709159049600
256,64739248940235392
257,68195598101454336
258,64745841713292160
259,66429232674604544
260,66431775295228288
261,66441323003146112
262,66445038154189952
263,64768763955442944
264,64770241424108032
265,66451429065390080
266,66451497784867712
267,68225834671270528
268,66452047540860160
269,66452734735432192
270,66452769091505024
271,66453181412027392
272,66453490649681280
273,68232191222851456
274,68232603539842944
275,68233531252642432
276,68236795427794816
277,66460225158376192
278,66462939577861248
279,64795289673433728
280,66468918172339328
281,66469742806047744
282,66470567439742208
283,64797523056344064
284,66471220274934272
285,64798038452412928
286,68254245878512384
287,68254765570883712
288,64798691287540224
289,66473178779856768
290,66473728535654784
291,64804360644343424
292,68261053403709312
293,68261946756899456
294,68262973252098304
295,68263145050803840
296,64808204638390912
297,64808483812941440
298,66480944080770176
299,68265279651517056
300,68265588889169664
301,66481734354737792
302,66481837433947392
303,66482868226100096
304,68268165869533568
305,68268303308484224
306,66483761579269888
307,66483795939004416
308,66485582645439104
309,66489259137570816
310,68282837477714816
311,68283421593270400
312,68284104491279872
313,66497952151148544
314,68291977168100480
315,66501181966524800
316,64837242912474624
317,68294309333614720
318,68294554148575232
319,68295481861500928
320,64840541448791424
321,68296650092601088
322,66506331628024832
323,68296890611072384
324,66507469798631808
325,64843805623922688
326,66507882115488128
327,68298093201624960
328,66509771901085696
329,66511970924353792
330,66512074003566976
331,66515196441155712
332,68303487680516224
333,68303659479211776
334,68303728198686080
335,66515922294233728
336,68306099020642432
337,66517468482370176
338,66517468482370304
339,68308882159427840
340,68310359628169472
341,68310561489710336
342,66525061984664832
343,66521179334108928
344,64856312568645248
345,66521381194879232
346,66522107047046656
347,66522137109124096
348,66522381924952704
349,66523103479455232
350,66523103479455744
351,64857721317916032
352,66523893753437824
353,68314414077327744
354,68317609532996480
355,66529975427235712
356,66531178017967872
357,66532174450470656
358,68322145018429952
359,66532621126978304
360,68322454256073344
361,64870296982175488
362,66533170882790784
363,68323485048225152
364,64871740091177600
365,68323966084583680
366,64874454510493440
367,66536331978799616
368,68327402058399232
369,66537981246228096
370,64879402312818944
371,66539252556578816
372,66541142342159232
373,68334617603435648
374,64884624994048256
375,66546742979468416
376,64889126119831040
377,68348155340347776
378,64891634380723712
379,66551686483467904
